CUSIP FULL	ENTITY NAME	FIRST DATE	LAST DATE	PERMCO	PERMNO	TICKER
03783310	APPLE COMPUTER INC	19801212	20070110	7	14593	AAPL
03783310	APPLE INC	20070111	20211231	7	14593	AAPL
00493020	ACTIVISION INC NEW	19931022	20080709	12499	79678	ATVI
00507V10	ACTIVISION BLIZZARD INC	20080710	20211231	12499	79678	ATVI   
00724F10	ADOBE SYSTEMS INC	19860813	20181008	8476	75510	ADBE
00724F10	ADOBE INC	20181009	20211231	8476	75510	ADBE
05301510	AUTOMATIC DATA PROCESSING INC	20001201	20081020	20235	44644	ADP
05301510	AUTOMATIC DATA PROCESSING INC	20081021	20211231	20235	44644	ADP
00906610	AIRBNB INC	20201210	20211231	57588	20190	ABNB
01625510	ALIGN TECHNOLOGY INC	20010126	20211231	41154	88860	ALGN
02079K10	ALPHABET INC	20151005	20211231	45483	14542	GOOG
02079K30	ALPHABET INC	20151005	20211231	45483	90319	GOOGL
38259P50	GOOGLE INC	20040819	20140402	45483	90319	GOOG
38259P50	GOOGLE INC	20140403	20151004	45483	90319	GOOGL
38259P70	GOOGLE INC	20140403	20151004	45483	14542	GOOG
02313510	AMAZON COM INC	19970515	20211231	15473	84788	AMZN
00790310	ADVANCED MICRO DEVICES INC	19721214	19791014	211	61241	AMD
00790310	ADVANCED MICRO DEVICES INC	19791015	19980802	211	61241	AMD
00790310	ADVANCED MICRO DEVICES INC	19980803	20150101	211	61241	AMD
00790310	ADVANCED MICRO DEVICES INC	20150102	20211231	211	61241	AMD
02553710	AMERICAN ELECTRIC POWER CO INC	19680102	20200930	20077	24109	AEP
02553710	AMERICAN ELECTRIC POWER CO INC	20060728	20061120	20077	24109	AEP
02553710	AMERICAN ELECTRIC POWER CO INC	20201001	20211231	20077	24109	AEP
03116210	AMGEN INC	19830617	19860331	216	14008	AMGN
03116210	AMGEN INC	19860401	20211231	216	14008	AMGN
03265410	ANALOG DEVICES INC	19790403	20010823	282	60871	ADI
03265410	ANALOG DEVICES INC	20010824	20120401	282	60871	ADI
03265410	ANALOG DEVICES INC	20120402	20211231	282	60871	ADI
03822210	APPLIED MATERIALS INC	19721214	19860331	194	14702	AMAT
03822210	APPLIED MATERIALS INC	19860401	19890831	194	14702	AMAT
03822210	APPLIED MATERIALS INC	19890901	20211231	194	14702	AMAT
03662Q10	ANSYS INC	19960620	20211231	14744	83621	ANSS
N0705911	A S M LITHOGRAPHY HOLDING N V	19950315	19990215	13621	81472	ASML
N0705911	A S M LITHOGRAPHY HOLDING N V	19990216	20010531	13621	81472	ASML
N0705911	A S M L HOLDING N V	20010601	20070930	13621	81472	ASML
N0705918	A S M L HOLDING N V	20071001	20121128	13621	81472	ASML
N0705921	A S M L HOLDING N V	20121129	20211231	13621	81472	ASML
04635310	ASTRAZENECA PLC	19990406	20200924	29908	79363	AZN
04635310	ASTRAZENECA PLC	20200925	20211231	29908	79363	AZN
G0624210	ATLASSIAN CORP PLC	20151210	20211231	55509	15909	TEAM
05276910	AUTODESK INC	19960501	20211231	7623	85631	ADSK
05675210	BAIDU COM INC	20050805	20090101	47204	90857	BIDU
05675210	BAIDU INC	20090102	20211231	47204	90857	BIDU
09062X10	BIOGEN IDEC INC	20031113	20150323	11112	76841	BIIB
09062X10	BIOGEN INC	20150324	20211231	11112	76841	BIIB
09857L10	BOOKING HOLDINGS INC	20180227	20211231	16454	86783	BKNG
11135F10	BROADCOM INC	20180405	20211231	53196	93002	AVGO
Y0486S10	AVAGO TECHNOLOGIES LTD	20090806	20160131	53196	93002	AVGO
Y0982710	BROADCOM LTD	20160201	20180404	53196	93002	AVGO
12738710	CADENCE DESIGN SYSTEMS INC	20051031	20211231	9245	11403	CDNS
16117M10	CHARTER COMMUNICATIONS INC	19991109	20090406	17322	87378	CHTR
16117M30	CHARTER COMMUNICATIONS INC	20100914	20160517	17322	12308	CHTR
16119P10	CHARTER COMMUNICATIONS INC NEW	20160518	20211231	17322	12308	CHTR
17290810	CINTAS CORP	19830819	19990630	6304	23660	CTAS
17290810	CINTAS CORP	19990701	20211231	6304	23660	CTAS
17275R10	CISCO SYSTEMS INC	19900216	20000731	10486	76076	CSCO
17275R10	CISCO SYSTEMS INC	20000801	20211231	10486	76076	CSCO
19244610	COGNIZANT TECHNOLOGY SOLS CORP	19980619	20211231	16167	86158	CTSH
20030010	COMCAST CORP	19721214	19890831	962	25022	CMCSA
20030010	COMCAST CORP	19890901	20021118	962	25022	CMCSA
20030N10	COMCAST CORP NEW	20021119	20211231	43613	89525	CMCSA
21037110	CONSTELLATION ENERGY GROUP INC	19990503	20110609	20258	24221	CEG
21037110	CONSTELLATION ENERGY GROUP INC	20110610	20120312	20258	24221	CEG
21720410	COPART INC	19940317	20211231	12926	80320	CPRT
22160Q10	COSTCO COMPANIES INC	19970206	19980831	7882	87055	COST
22160Q10	COSTCO COMPANIES INC	19980901	19990829	7882	87055	COST
22160710	COSTCO WHOLESALE CORP	19851127	19931021	7882	87055	COST
22160K10	COSTCO WHOLESALE CORP NEW	19990830	20211231	7882	87055	COST
22788C10	CROWDSTRIKE HOLDINGS INC	20190612	20211231	56769	18726	CRWD
12640810	C S X CORP	19801113	19970930	20370	62148	CSX
12640810	C S X CORP	19971001	20151221	20370	62148	CSX
12640810	C S X CORP	20151222	20211231	20370	62148	CSX
23804L10	DATADOG INC	20190919	20211231	56876	18911	DDOG
25213110	DEXCOM INC	20050414	20211231	46559	90664	DXCM
25616310	DOCUSIGN INC	20180427	20211231	56335	17685	DOCU
25674610	DOLLAR TREE INC	20080303	20211231	13603	81481	DLTR
25674710	DOLLAR TREE STORES INC	19950307	20080302	13603	81481	DLTR
27864210	EBAY INC	19980924	20070802	16285	86356	EBAY
27864210	EBAY INC	20070803	20211231	16285	86356	EBAY
28551210	ELECTRONIC ARTS INC	20111220	20211231	10303	75828	EA
30161N10	EXELON CORP	20001017	20161218	21396	21776	EXC
30161N10	EXELON CORP	20010301	20190924	21396	21776	EXC
30161N10	EXELON CORP	20190925	20211231	21396	21776	EXC
31190010	FASTENAL COMPANY	19870820	19990630	9440	11618	FAST
31190010	FASTENAL COMPANY	19990701	20211231	9440	11618	FAST
33773810	FISERV INC	19860925	20211231	8598	10696	FISV
34959E10	FORTINET INC	20091118	20211231	53286	93132	FTNT
37555810	GILEAD SCIENCES INC	19920122	20211231	11300	77274	GILD
43850610	HONEYWELL INC	19680102	19780402	20928	18374	HON
43850610	HONEYWELL INC	19780403	19981130	20928	18374	HON
43850610	HONEYWELL INC	19981201	19991201	20928	18374	HON
43851610	HONEYWELL INTERNATIONAL INC	19991202	20170129	22168	10145	HON
43851610	HONEYWELL INTERNATIONAL INC	20010301	20210510	22168	10145	HON
43851610	HONEYWELL INTERNATIONAL INC	20170130	20210405	22168	10145	HON
43851610	HONEYWELL INTERNATIONAL INC	20210511	20211231	22168	10145	HON
45168D10	I D E X X LABORATORIES INC	19910621	20211231	10989	76709	IDXX
45232710	ILLUMINA INC	20000728	20211231	37938	88446	ILMN
45814010	INTEL CORP	19721214	20211231	2367	59328	INTC
46120210	INTUIT INC	19930312	20211231	12011	78975	INTU
46120E10	INTUITIVE SURGICAL INC	20000613	20030630	37727	88352	ISRG
46120E60	INTUITIVE SURGICAL INC	20030701	20211231	37727	88352	ISRG
47215P10	J D COM INC	20140522	20211231	54863	14655	JD
49271V10	KEURIG DR PEPPER INC	20180710	20200920	56438	17942	KDP
49271V10	KEURIG DR PEPPER INC	20200921	20211231	56438	17942	KDP
48248010	K L A INSTRUMENTS CORP	19801008	19860331	2551	46886	KLAC
48248010	K L A INSTRUMENTS CORP	19860401	19890831	2551	46886	KLAC
48248010	K L A INSTRUMENTS CORP	19890901	19970501	2551	46886	KLAC
48248010	K L A TENCOR CORP	19970502	20070201	2551	46886	KLAC
48248010	K L A TENCOR CORP	20070202	20190715	2551	46886	KLAC
48248010	K L A CORP	20190716	20211231	2551	46886	KLAC
50075410	KRAFT HEINZ CO	20150706	20211231	55296	15408	KHC
51280710	LAM RESH CORP	19840504	19890831	7013	48486	LRCX
51280710	LAM RESH CORP	19890901	20070201	7013	48486	LRCX
51280710	LAM RESH CORP	20070202	20211231	7013	48486	LRCX
54949810	LUCID GROUP INC	20210726	20211231	57148	19751	LCID
55002110	LULULEMON ATHLETICA INC	20070730	20211231	52547	92203	LULU
57190010	MARRIOTT INTERNATIONAL INC	19931012	19980322	30005	79764	MAR
57190310	MARRIOTT INTERNATIONAL INC NEW	19980323	19980329	30005	79764	MAR
57190320	MARRIOTT INTERNATIONAL INC NEW	19980330	20131020	30005	85913	MAR
57190320	MARRIOTT INTERNATIONAL INC NEW	20131021	20211231	30005	85913	MAR
57387410	MARVELL TECHNOLOGY INC	20210421	20211231	37731	88360	MRVL
G5876H10	MARVELL TECHNOLOGY GROUP LTD	20000627	20210420	37731	88360	MRVL
57665R10	MATCH GROUP INC	20151119	20200630	55487	15850	MTCH
57667L10	MATCH GROUP INC NEW	20200701	20211231	55487	15850	MTCH
58733R10	MERCADOLIBRE INC	20070810	20211231	52670	92221	MELI
30303M10	FACEBOOK INC	20120518	20211031	54084	13407	FB
30303M10	FACEBOOK INC	20190917	20200102	54084	13407	FB
30303M10	META PLATFORMS INC	20211101	20211231	54084	13407	FB
59501710	MICROCHIP TECHNOLOGY INC	19930319	20211231	12027	78987	MCHP
59511210	MICRON TECHNOLOGY INC	19840601	19860331	7065	53613	MU
59511210	MICRON TECHNOLOGY INC	19860401	19881031	7065	53613	MU
59511210	MICRON TECHNOLOGY INC	19881101	19901129	7065	53613	MU
59511210	MICRON TECHNOLOGY INC	19901130	20010823	7065	53613	MU
59511210	MICRON TECHNOLOGY INC	20010824	20091229	7065	53613	MU
59511210	MICRON TECHNOLOGY INC	20091230	20211231	7065	53613	MU
59491810	MICROSOFT CORP	19860313	20211231	8048	10107	MSFT
60770K10	MODERNA INC	20181207	20211231	56611	18312	MRNA
60920710	MONDELEZ INTERNATIONAL INC	20121002	20211231	41680	89006	MDLZ
61174010	MONSTER BEVERAGE CORP	20120109	20150614	7902	88031	MNST
61174X10	MONSTER BEVERAGE CORP NEW	20150615	20211231	7902	88031	MNST
64110W10	NETEASE COM INC	20000630	20120411	37733	88362	NTES
64110W10	NETEASE COM INC	20010904	20020101	37733	88362	NTES
64110W10	NETEASE INC	20120412	20211231	37733	88362	NTES
64110L10	NETFLIX INC	20020523	20211231	43145	89393	NFLX
67066G10	NVIDIA CORP	19990122	20211231	16382	86580	NVDA
N6596X10	N X P SEMICONDUCTORS N V	20100806	20211231	53494	12084	NXPI
67103H10	O REILLY AUTOMOTIVE INC NEW	20101230	20211231	12097	79103	ORLY
68609110	O REILLY AUTOMOTIVE INC	19930423	20101229	12097	79103	ORLY
67929510	OKTA INC	20170407	20211231	55899	16649	OKTA
67958010	OLD DOMINION FREIGHT LINE INC	19911024	20211231	11161	77037	ODFL
69371810	PACCAR INC	19721214	20211231	3487	60506	PCAR
69743510	PALO ALTO NETWORKS INC	20211025	20211231	54139	13511	PANW
69743510	PALO ALTO NETWORKS INC	20210329	20211024	54139	13511	PANW
69743510	PALO ALTO NETWORKS INC	20160822	20210328	54139	13511	PANW
69743510	PALO ALTO NETWORKS INC	20120720	20160821	54139	13511	PANW
70432610	PAYCHEX INC	19830826	19990630	6333	61621	PAYX
70432610	PAYCHEX INC	19990701	20211231	6333	61621	PAYX
70450Y10	PAYPAL HOLDINGS INC	20150720	20211231	55341	15488	PYPL
72230410	PINDUODUO INC	20180726	20211231	56461	17972	PDD
71344810	PEPSICO INC	19680102	20171219	21384	13856	PEP
71344810	PEPSICO INC	20171220	20211231	21384	13856	PEP
74752510	QUALCOMM INC	19911213	20060720	11253	77178	QCOM
74752510	QUALCOMM INC	20060721	20211231	11253	77178	QCOM
75886F10	REGENERON PHARMACEUTICALS INC	19910402	20211231	10876	76614	REGN
77829610	ROSS STORES INC	19850808	19860331	7684	91556	ROST
77829610	ROSS STORES INC	19860401	20211231	7684	91556	ROST
81181C10	SEAGEN INC	20201009	20211231	41391	88949	SGEN
81257810	SEATTLE GENETICS INC	20010307	20201008	41391	88949	SGEN
82968B10	SIRIUS X M HOLDINGS INC	20131115	20211231	13304	80924	SIRI
83088M10	SKYWORKS SOLUTIONS INC	20020626	20211231	20058	45911	SWKS
84863710	SPLUNK INC	20120419	20211231	54064	13379	SPLK
85524410	STARBUCKS CORP	19920626	19990630	11592	77702	SBUX
85524410	STARBUCKS CORP	19990701	20211231	11592	77702	SBUX
87160710	SYNOPSYS INC	19920226	20211231	11361	77357	SNPS
87259010	T MOBILE U S INC	20130501	20151026	52120	91937	TMUS
87259010	T MOBILE U S INC	20151027	20211231	52120	91937	TMUS
88160R10	TESLA MOTORS INC	20100629	20170201	53453	93436	TSLA
88160R10	TESLA INC	20170202	20211231	53453	93436	TSLA
88250810	TEXAS INSTRUMENTS INC	19680102	20120102	21737	15579	TXN
88250810	TEXAS INSTRUMENTS INC	20120103	20211231	21737	15579	TXN
92343E10	VERISIGN INC	19980130	20000731	15940	85753	VRSN
92343E10	VERISIGN INC	20000801	20211231	15940	85753	VRSN
92345Y10	VERISK ANALYTICS INC	20091007	20150601	53256	93089	VRSK
92345Y10	VERISK ANALYTICS INC	20150602	20211231	53256	93089	VRSK
92532F10	VERTEX PHARMACEUTICALS INC	19910724	20211231	11042	76744	VRTX
93142710	WALGREENS BOOTS ALLIANCE INC	20141231	20211231	21881	19502	WBA
98138H10	WORKDAY INC	20121012	20131202	54213	13628	WDAY
98138H10	WORKDAY INC	20131203	20170420	54213	13628	WDAY
98138H10	WORKDAY INC	20170421	20170919	54213	13628	WDAY
98138H10	WORKDAY INC	20170920	20211231	54213	13628	WDAY
98389B10	X C E L ENERGY INC	20000821	20140130	21300	23931	XEL
98389B10	X C E L ENERGY INC	20060630	20180101	21300	23931	XEL
98389B10	X C E L ENERGY INC	20180102	20211231	21300	23931	XEL
98980L10	ZOOM VIDEO COMMUNICATIONS INC	20190418	20211231	56690	18484	ZM
98980G10	ZSCALER INC	20180316	20211231	56287	17341	ZS
